epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3174,1.08045,3.32475,1.46964,0.00998,0.92857,0.14877,0.08206,0.66607,3.94131,1.48375,4.287e-05,4.287e-05,4.287e-05
2,40.4327,0.76545,3.08393,1.30123,0.01074,1,0.47704,0.38939,0.45443,3.74944,1.21188,9.90397e-05,9.90397e-05,9.90397e-05
3,58.1355,0.7241,2.70679,1.33867,0.01124,1,0.674,0.55542,0.48533,3.62079,1.14171,0.000154078,0.000154078,0.000154078
4,75.488,0.68006,2.11051,1.22328,0.01455,1,0.84008,0.68831,0.51185,3.38076,1.22047,0.000207984,0.000207984,0.000207984
5,92.8833,0.61809,1.57075,1.17188,0.02194,1,0.83979,0.70076,0.52395,3.33224,1.35672,0.000260758,0.000260758,0.000260758
6,110.81,0.56909,1.34524,1.09339,1,0.2499,0.84533,0.69252,0.57101,3.3868,1.32582,0.000312401,0.000312401,0.000312401
7,129.096,0.53802,1.24471,1.07625,0.86808,0.14286,0.87301,0.66839,0.65092,3.30684,1.3393,0.000362912,0.000362912,0.000362912
8,146.649,0.54508,1.25059,1.0872,0.8157,0.5,0.87445,0.63744,0.67615,3.0418,1.39565,0.000412291,0.000412291,0.000412291
9,167.043,0.63464,1.19161,1.16013,0.89152,0.58837,0.86686,0.54314,0.8402,3.1333,1.55058,0.000460538,0.000460538,0.000460538
10,184.478,0.49603,1.10899,1.02616,0.62466,0.833,0.84215,0.54318,0.75955,2.8524,1.50922,0.000507654,0.000507654,0.000507654
11,201.58,0.60954,1.08601,1.15269,0.77115,0.7226,0.86129,0.55768,0.88137,2.64158,1.56902,0.000553637,0.000553637,0.000553637
12,219.819,0.57106,1.06565,1.05947,0.91611,0.78044,0.87065,0.59986,1.11292,2.40141,1.91587,0.000598489,0.000598489,0.000598489
13,237.863,0.53025,1.18947,1.06016,0.87795,0.64286,0.7699,0.57869,1.06142,2.44494,1.78572,0.00064221,0.00064221,0.00064221
14,255.309,0.53286,1.05303,1.03578,0.8287,0.69245,0.77538,0.57014,1.02571,2.94623,1.79445,0.000684798,0.000684798,0.000684798
15,272.812,0.5019,1.1379,1.03494,0.61851,0.85714,0.7614,0.46082,0.96568,3.25983,1.73455,0.000726255,0.000726255,0.000726255
16,290.721,0.51846,1.0689,1.05217,0.71224,0.78571,0.79355,0.52493,0.92432,2.38465,1.66655,0.00076658,0.00076658,0.00076658
17,313.336,0.53198,1.04566,1.06578,0.92203,0.84551,0.85266,0.5703,1.01082,2.3268,1.86841,0.000805773,0.000805773,0.000805773
18,334.48,0.56367,1.07591,1.1243,0.9127,0.78571,0.85369,0.57282,0.94759,2.46659,1.86363,0.000843835,0.000843835,0.000843835
19,356.554,0.52798,0.98612,1.03068,0.75462,0.78571,0.84567,0.53176,0.90696,2.64516,1.63006,0.000880764,0.000880764,0.000880764
20,379.004,0.55651,1.02146,1.06921,0.77677,0.74695,0.77034,0.51018,0.91689,2.78412,1.50821,0.000916562,0.000916562,0.000916562
21,400.954,0.55531,1.03073,1.04637,0.41103,0.57143,0.44655,0.28627,1.52397,3.36651,2.28736,0.000951228,0.000951228,0.000951228
22,422.507,0.48228,0.97493,0.97519,0.56858,0.78571,0.59372,0.26528,1.51731,3.75481,2.23655,0.000984762,0.000984762,0.000984762
23,443.309,0.53839,0.95009,1.05057,0.67755,0.90145,0.78453,0.41501,1.26345,3.50306,2.0036,0.00101717,0.00101717,0.00101717
24,464.474,0.57741,0.96997,1.08054,0.84354,0.77114,0.87111,0.51081,1.31372,2.47271,2.12222,0.00104844,0.00104844,0.00104844
